iter 	posterior 	likelihood 	prior 	Tree0Likelihood	Tree.height	Tree.treeLength	clockRate	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD	mrca.date-backward(1)
188	nan	-3878.91	nan	-3878.91	0.657148	3.04412	0.183718	nan	0.1	0.5	1	0.657148	0	0.341063
189	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
190	nan	-3906.03	nan	-3906.03	0.898455	4.8588	0.0810449	nan	0.1	0.5	1	0.898455	0	0.640495
191	nan	-3877.87	nan	-3877.87	0.995581	4.5756	0.119267	nan	0.1	0.5	1	0.995581	0	0.494715
192	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
193	nan	-3878.03	nan	-3878.03	1.37692	6.4129	0.0817991	nan	0.1	0.5	1	1.37692	0	0.74727
194	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
195	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
196	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
197	nan	-3875.62	nan	-3875.62	0.679977	3.06309	0.176917	nan	0.1	0.5	1	0.679977	0	0.337608
198	nan	-3882.59	nan	-3882.59	0.585173	2.94737	0.16323	nan	0.1	0.5	1	0.585173	0	0.352817
199	-3863.44	-3896.55	33.1083	-3896.55	0.403223	2.22977	0.209798	33.2216	0.1	0.5	1	0.403223	0	0.280876
200	-4020.96	-3997.12	-23.8404	-3997.12	1.74303	5.72933	0.157759	-21.0475	0.1	0.5	1	1.74303	0	0.452322
201	nan	-3883.48	nan	-3883.48	0.585173	2.89217	0.16323	nan	0.1	0.5	1	0.585173	0	0.334816
202	-4020.96	-3997.12	-23.8404	-3997.12	1.74303	5.72933	0.157759	-21.0475	0.1	0.5	1	1.74303	0	0.452322
203	nan	-3880.45	nan	-3880.45	0.995581	4.3986	0.119267	nan	0.1	0.5	1	0.995581	0	0.439327
204	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
205	-3927.19	-3936.22	9.02362	-3936.22	0.216672	1.29545	0.285721	8.76382	0.1	0.5	1	0.216672	0	0.185755
206	nan	-3876.23	nan	-3876.23	0.995581	4.73272	0.119267	nan	0.1	0.5	1	0.995581	0	0.538349
207	nan	-3905.16	nan	-3905.16	0.898455	4.80123	0.0810449	nan	0.1	0.5	1	0.898455	0	0.582332
