Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
173	1	-5873.364	-5862.202	-11.16188	1.861029	0.010452	1.861708	0.03124329	0.04169529	0.7493242
174	0	-5874.219	-5862.244	-11.97577	1.842145	0.1002664	1.846102	0.04855612	0.1488225	0.3262686
175	1	-5875.315	-5863.342	-11.97357	1.861029	-0.1084908	1.866388	0.1490167	0.04052595	3.677069
176	0	-5871.755	-5860.637	-11.11863	1.842145	0.03289413	1.846102	0.02048358	0.05337771	0.3837479
177	1	-5880.343	-5867.397	-12.94566	1.861029	-0.01777006	1.866388	0.1700839	0.1523138	1.116667
178	0	-5875.753	-5863.97	-11.78324	1.842145	0.1641454	1.850273	0.003316613	0.167462	0.01980517
179	1	-5879.336	-5865.605	-13.73063	1.852547	0.1286118	1.871259	0.1495869	0.2781987	0.5376981
180	0	-5873.465	-5862.44	-11.02444	1.848262	0.04712943	1.861793	0.002867261	0.04999669	0.05734902
181	1	-5874.887	-5861.83	-13.05729	1.847533	-0.01265581	1.862608	0.1761223	0.1634665	1.077421
182	0	-5875.583	-5863.712	-11.87088	1.848262	0.1673162	1.861793	0.005506998	0.1728232	0.03186493
183	1	-5874.573	-5862.464	-12.1094	1.847533	0.06148222	1.862608	0.07396518	0.1354474	0.5460805
184	0	-5874.169	-5862.427	-11.74157	1.848262	0.1586887	1.85865	0.001128856	0.1598176	0.007063404
185	1	-5873.94	-5862.043	-11.89797	1.847533	0.077072	1.862608	0.05152688	0.1285989	0.4006791
186	0	-5873.909	-5862.44	-11.46922	1.848262	0.1172427	1.85865	0.001672538	0.1189153	0.01406496
187	1	-5872.749	-5860.742	-12.00722	1.847533	-0.01811595	1.855299	0.1077345	0.08961858	1.202145
188	0	-5877.683	-5864.324	-13.35896	1.850788	0.3141496	1.875782	0.03394989	0.3480995	0.09752928
189	1	-5873.803	-5862.725	-11.0774	1.847533	0.02827225	1.855299	0.01769051	0.04596275	0.3848879
190	0	-5878.258	-5865.919	-12.33947	1.850788	0.1724332	1.87503	0.03352111	0.2059544	0.1627599
191	1	-5874.027	-5861.151	-12.87598	1.842649	-0.2515729	1.862736	0.2857543	0.0341814	8.359934
192	0	-5881.858	-5870.261	-11.59605	1.842692	0.009997219	1.914745	0.05235583	0.06235305	0.8396675
193	1	-5872.416	-5860.532	-11.88472	1.840834	0.0090146	1.862736	0.08421124	0.09322584	0.9033036
194	0	-5875.635	-5863.495	-12.13973	1.842692	-0.01845807	1.844407	0.1195469	0.1010888	1.182593
195	1	-5871.364	-5859.935	-11.42883	1.840834	-0.03207565	1.847128	0.07532483	0.04324918	1.741648
196	0	-5876.366	-5862.967	-13.39873	1.842692	0.3478443	1.844407	0.02580494	0.3736493	0.06906192
197	1	-5873.554	-5860.568	-12.98642	1.840834	-0.05868196	1.844865	0.1971096	0.1384277	1.423918
198	0	-5876.162	-5865.032	-11.12912	1.842692	0.05262166	1.844407	0.01173418	0.06435584	0.1823327
199	1	-5875.112	-5859.768	-15.34466	1.840834	0.3040019	1.843419	0.1713671	0.475369	0.3604928
